source_project,source_priority,repo_url,commit_sha,branch,module,file,file_stem,suffix,parameter_count,port_count,instance_count,clock_names,reset_names,handshakes
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_RDMA_ro_fifo_flopram_rwsa_4x64,vmod/nvdla/cdp/NV_NVDLA_CDP_RDMA_eg.v,NV_NVDLA_CDP_RDMA_eg,.v,0,7,33,clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_REG_dual,vmod/nvdla/cdp/NV_NVDLA_CDP_REG_dual.v,NV_NVDLA_CDP_REG_dual,.v,0,37,0,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_REG_single,vmod/nvdla/cdp/NV_NVDLA_CDP_REG_single.v,NV_NVDLA_CDP_REG_single,.v,0,39,0,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_WDMA_cmd_fifo,vmod/nvdla/cdp/NV_NVDLA_CDP_wdma.v,NV_NVDLA_CDP_wdma,.v,0,10,4,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_WDMA_cmd_fifo_flopram_rwsa_3x15,vmod/nvdla/cdp/NV_NVDLA_CDP_wdma.v,NV_NVDLA_CDP_wdma,.v,0,7,33,clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_WDMA_dat_fifo,vmod/nvdla/cdp/NV_NVDLA_CDP_wdma.v,NV_NVDLA_CDP_wdma,.v,0,10,4,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_WDMA_dat_fifo_flopram_rwsa_3x64,vmod/nvdla/cdp/NV_NVDLA_CDP_wdma.v,NV_NVDLA_CDP_wdma,.v,0,7,33,clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_WDMA_intr_fifo,vmod/nvdla/cdp/NV_NVDLA_CDP_wdma.v,NV_NVDLA_CDP_wdma,.v,0,8,34,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_WDMA_pipe_p2,vmod/nvdla/cdp/NV_NVDLA_CDP_wdma.v,NV_NVDLA_CDP_wdma,.v,0,8,2,nvdla_core_clk_orig,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_WDMA_pipe_p3,vmod/nvdla/cdp/NV_NVDLA_CDP_wdma.v,NV_NVDLA_CDP_wdma,.v,0,8,2,nvdla_core_clk_orig,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_dp,vmod/nvdla/cdp/NV_NVDLA_CDP_dp.v,NV_NVDLA_CDP_dp,.v,0,64,9,nvdla_core_clk;nvdla_core_clk_orig;nvdla_op_gated_clk_fp16;nvdla_op_gated_clk_int,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_rdma,vmod/nvdla/cdp/NV_NVDLA_CDP_rdma.v,NV_NVDLA_CDP_rdma,.v,0,28,5,nvdla_core_clk;dla_clk_ovr_on_sync;global_clk_ovr_on_sync;tmc2slcg_disable_clock_gating,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_reg,vmod/nvdla/cdp/NV_NVDLA_CDP_reg.v,NV_NVDLA_CDP_reg,.v,0,76,13,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_slcg,vmod/nvdla/cdp/NV_NVDLA_CDP_slcg.v,NV_NVDLA_CDP_slcg,.v,0,7,5,dla_clk_ovr_on_sync;global_clk_ovr_on_sync;nvdla_core_clk;tmc2slcg_disable_clock_gating;nvdla_core_gated_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_wdma,vmod/nvdla/cdp/NV_NVDLA_CDP_wdma.v,NV_NVDLA_CDP_wdma,.v,0,29,38,nvdla_core_clk;nvdla_core_clk_orig,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CMAC_CORE_MAC_booth,vmod/nvdla/cmac/NV_NVDLA_CMAC_CORE_MAC_mul.v,NV_NVDLA_CMAC_CORE_MAC_mul,.v,0,6,0,,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CMAC_CORE_MAC_exp,vmod/nvdla/cmac/NV_NVDLA_CMAC_CORE_MAC_exp.v,NV_NVDLA_CMAC_CORE_MAC_exp,.v,0,78,38,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CMAC_CORE_MAC_mul,vmod/nvdla/cmac/NV_NVDLA_CMAC_CORE_MAC_mul.v,NV_NVDLA_CMAC_CORE_MAC_mul,.v,0,15,17,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CMAC_CORE_MAC_nan,vmod/nvdla/cmac/NV_NVDLA_CMAC_CORE_MAC_nan.v,NV_NVDLA_CMAC_CORE_MAC_nan,.v,0,10,1,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CMAC_CORE_active,vmod/nvdla/cmac/NV_NVDLA_CMAC_CORE_active.v,NV_NVDLA_CMAC_CORE_active,.v,0,397,11,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CMAC_CORE_cfg,vmod/nvdla/cmac/NV_NVDLA_CMAC_CORE_cfg.v,NV_NVDLA_CMAC_CORE_cfg,.v,0,12,2,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CMAC_CORE_mac,vmod/nvdla/cmac/NV_NVDLA_CMAC_CORE_mac.v,NV_NVDLA_CMAC_CORE_mac,.v,0,27,241,nvdla_core_clk;nvdla_wg_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CMAC_CORE_rt_in,vmod/nvdla/cmac/NV_NVDLA_CMAC_CORE_rt_in.v,NV_NVDLA_CMAC_CORE_rt_in,.v,0,528,4,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CMAC_CORE_rt_out,vmod/nvdla/cmac/NV_NVDLA_CMAC_CORE_rt_out.v,NV_NVDLA_CMAC_CORE_rt_out,.v,0,29,5,nvdla_core_clk;nvdla_wg_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CMAC_CORE_slcg,vmod/nvdla/cmac/NV_NVDLA_CMAC_CORE_slcg.v,NV_NVDLA_CMAC_CORE_slcg,.v,0,8,5,dla_clk_ovr_on_sync;global_clk_ovr_on_sync;nvdla_core_clk;tmc2slcg_disable_clock_gating;nvdla_core_gated_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CMAC_REG_dual,vmod/nvdla/cmac/NV_NVDLA_CMAC_REG_dual.v,NV_NVDLA_CMAC_REG_dual,.v,0,10,0,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CMAC_REG_single,vmod/nvdla/cmac/NV_NVDLA_CMAC_REG_single.v,NV_NVDLA_CMAC_REG_single,.v,0,10,0,nvdla_core_clk,,
